speciesId,formKey,nameZh,alternate,normalStatus,shinyStatus,normalUrls,shinyUrls
77,ponyta,小火马,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/ponyta.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/ponyta-s.gif
78,rapidash,烈焰马,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/rapidash.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/rapidash-s.gif
79,slowpoke,呆呆兽,False,no_mapped_index_entry,no_mapped_index_entry,,
80,slowbro,呆壳兽,False,no_mapped_index_entry,no_mapped_index_entry,,
81,magnemite,小磁怪,False,no_mapped_index_entry,no_mapped_index_entry,,
82,magneton,三合一磁怪,False,no_mapped_index_entry,no_mapped_index_entry,,
83,farfetchd,大葱鸭,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/farfetchd.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/farfetchd-s.gif
84,doduo,嘟嘟,False,no_mapped_index_entry,no_mapped_index_entry,,
85,dodrio,嘟嘟利,False,no_mapped_index_entry,no_mapped_index_entry,,
86,seel,小海狮,False,no_mapped_index_entry,no_mapped_index_entry,,
87,dewgong,白海狮,False,no_mapped_index_entry,no_mapped_index_entry,,
88,grimer,臭泥,False,no_mapped_index_entry,no_mapped_index_entry,,
89,muk,臭臭泥,False,no_mapped_index_entry,no_mapped_index_entry,,
90,shellder,大舌贝,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/shellder.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/shellder-s.gif
91,cloyster,刺甲贝,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/cloyster.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/cloyster-s.gif
92,gastly,鬼斯,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/gastly.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/gastly-s.gif
93,haunter,鬼斯通,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/haunter.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/haunter-s.gif
94,gengar,耿鬼,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/gengar.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/gengar-s.gif
95,onix,大岩蛇,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/onix.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/onix-s.gif
96,drowzee,催眠貘,False,no_mapped_index_entry,no_mapped_index_entry,,
97,hypno,引梦貘人,False,no_mapped_index_entry,no_mapped_index_entry,,
98,krabby,大钳蟹,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/krabby.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/krabby-s.gif
99,kingler,巨钳蟹,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/kingler.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/kingler-s.gif
100,voltorb,霹雳电球,False,no_mapped_index_entry,no_mapped_index_entry,,
101,electrode,顽皮雷弹,False,no_mapped_index_entry,no_mapped_index_entry,,
102,exeggcute,蛋蛋,False,no_mapped_index_entry,no_mapped_index_entry,,
103,exeggutor,椰蛋树,False,no_mapped_index_entry,no_mapped_index_entry,,
104,cubone,卡拉卡拉,False,no_mapped_index_entry,no_mapped_index_entry,,
105,marowak,嘎啦嘎啦,False,no_mapped_index_entry,no_mapped_index_entry,,
106,hitmonlee,飞腿郎,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/hitmonlee.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/hitmonlee-s.gif
107,hitmonchan,快拳郎,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/hitmonchan.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/hitmonchan-s.gif
108,lickitung,大舌头,False,no_mapped_index_entry,no_mapped_index_entry,,
109,koffing,瓦斯弹,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/koffing.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/koffing-s.gif
110,weezing,双弹瓦斯,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/weezing.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/weezing-s.gif
111,rhyhorn,独角犀牛,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/rhyhorn.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/rhyhorn-s.gif
112,rhydon,钻角犀兽,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/rhydon.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/rhydon-s.gif
113,chansey,吉利蛋,False,no_mapped_index_entry,no_mapped_index_entry,,
114,tangela,蔓藤怪,False,no_mapped_index_entry,no_mapped_index_entry,,
115,kangaskhan,袋兽,False,no_mapped_index_entry,no_mapped_index_entry,,
